index, name                                                   , type      , volume-mm3 
1   , ctx-rh-lateralorbitofrontal_9                          , cortical  ,      537.0 
2   , ctx-rh-lateralorbitofrontal_11                         , cortical  ,      617.0 
3   , ctx-rh-lateralorbitofrontal_5                          , cortical  ,      452.0 
4   , ctx-rh-lateralorbitofrontal_6                          , cortical  ,      364.0 
5   , ctx-rh-lateralorbitofrontal_7                          , cortical  ,     1007.0 
6   , ctx-rh-lateralorbitofrontal_10                         , cortical  ,      664.0 
7   , ctx-rh-lateralorbitofrontal_4                          , cortical  ,      232.0 
8   , ctx-rh-lateralorbitofrontal_17                         , cortical  ,      254.0 
9   , ctx-rh-lateralorbitofrontal_8                          , cortical  ,      477.0 
10  , ctx-rh-lateralorbitofrontal_15                         , cortical  ,      356.0 
11  , ctx-rh-lateralorbitofrontal_13                         , cortical  ,      383.0 
12  , ctx-rh-lateralorbitofrontal_12                         , cortical  ,      306.0 
13  , ctx-rh-lateralorbitofrontal_1                          , cortical  ,      383.0 
14  , ctx-rh-lateralorbitofrontal_3                          , cortical  ,      695.0 
15  , ctx-rh-lateralorbitofrontal_16                         , cortical  ,      366.0 
16  , ctx-rh-lateralorbitofrontal_14                         , cortical  ,      424.0 
17  , ctx-rh-lateralorbitofrontal_2                          , cortical  ,      530.0 
18  , ctx-rh-parsorbitalis_4                                 , cortical  ,     1167.0 
19  , ctx-rh-parsorbitalis_1                                 , cortical  ,      725.0 
20  , ctx-rh-parsorbitalis_2                                 , cortical  ,      618.0 
21  , ctx-rh-parsorbitalis_3                                 , cortical  ,      753.0 
22  , ctx-rh-frontalpole_2                                   , cortical  ,      403.0 
23  , ctx-rh-frontalpole_1                                   , cortical  ,      839.0 
24  , ctx-rh-medialorbitofrontal_1                           , cortical  ,      523.0 
25  , ctx-rh-medialorbitofrontal_9                           , cortical  ,      623.0 
26  , ctx-rh-medialorbitofrontal_7                           , cortical  ,      601.0 
27  , ctx-rh-medialorbitofrontal_3                           , cortical  ,      356.0 
28  , ctx-rh-medialorbitofrontal_10                          , cortical  ,      574.0 
29  , ctx-rh-medialorbitofrontal_8                           , cortical  ,      465.0 
30  , ctx-rh-medialorbitofrontal_5                           , cortical  ,      399.0 
31  , ctx-rh-medialorbitofrontal_4                           , cortical  ,      207.0 
32  , ctx-rh-medialorbitofrontal_2                           , cortical  ,      431.0 
33  , ctx-rh-medialorbitofrontal_6                           , cortical  ,      626.0 
34  , ctx-rh-medialorbitofrontal_11                          , cortical  ,      414.0 
35  , ctx-rh-parstriangularis_8                              , cortical  ,      237.0 
36  , ctx-rh-parstriangularis_5                              , cortical  ,      275.0 
37  , ctx-rh-parstriangularis_3                              , cortical  ,      304.0 
38  , ctx-rh-parstriangularis_4                              , cortical  ,      749.0 
39  , ctx-rh-parstriangularis_1                              , cortical  ,     1064.0 
40  , ctx-rh-parstriangularis_2                              , cortical  ,      619.0 
41  , ctx-rh-parstriangularis_7                              , cortical  ,      635.0 
42  , ctx-rh-parstriangularis_6                              , cortical  ,      562.0 
43  , ctx-rh-parsopercularis_8                               , cortical  ,      885.0 
44  , ctx-rh-parsopercularis_4                               , cortical  ,      501.0 
45  , ctx-rh-parsopercularis_5                               , cortical  ,      419.0 
46  , ctx-rh-parsopercularis_9                               , cortical  ,      242.0 
47  , ctx-rh-parsopercularis_3                               , cortical  ,      723.0 
48  , ctx-rh-parsopercularis_1                               , cortical  ,      666.0 
49  , ctx-rh-parsopercularis_7                               , cortical  ,      518.0 
50  , ctx-rh-parsopercularis_6                               , cortical  ,      647.0 
51  , ctx-rh-parsopercularis_2                               , cortical  ,      356.0 
52  , ctx-rh-rostralmiddlefrontal_19                         , cortical  ,      903.0 
53  , ctx-rh-rostralmiddlefrontal_21                         , cortical  ,      445.0 
54  , ctx-rh-rostralmiddlefrontal_16                         , cortical  ,      631.0 
55  , ctx-rh-rostralmiddlefrontal_22                         , cortical  ,      888.0 
56  , ctx-rh-rostralmiddlefrontal_24                         , cortical  ,     1575.0 
57  , ctx-rh-rostralmiddlefrontal_10                         , cortical  ,     1389.0 
58  , ctx-rh-rostralmiddlefrontal_20                         , cortical  ,      567.0 
59  , ctx-rh-rostralmiddlefrontal_15                         , cortical  ,      982.0 
60  , ctx-rh-rostralmiddlefrontal_18                         , cortical  ,      335.0 
61  , ctx-rh-rostralmiddlefrontal_7                          , cortical  ,      479.0 
62  , ctx-rh-rostralmiddlefrontal_25                         , cortical  ,     1307.0 
63  , ctx-rh-rostralmiddlefrontal_23                         , cortical  ,      405.0 
64  , ctx-rh-rostralmiddlefrontal_4                          , cortical  ,      883.0 
65  , ctx-rh-rostralmiddlefrontal_27                         , cortical  ,      795.0 
66  , ctx-rh-rostralmiddlefrontal_14                         , cortical  ,      598.0 
67  , ctx-rh-rostralmiddlefrontal_17                         , cortical  ,     1080.0 
68  , ctx-rh-rostralmiddlefrontal_9                          , cortical  ,      792.0 
69  , ctx-rh-rostralmiddlefrontal_12                         , cortical  ,      711.0 
70  , ctx-rh-rostralmiddlefrontal_2                          , cortical  ,      477.0 
71  , ctx-rh-rostralmiddlefrontal_13                         , cortical  ,      851.0 
72  , ctx-rh-rostralmiddlefrontal_11                         , cortical  ,      760.0 
73  , ctx-rh-rostralmiddlefrontal_3                          , cortical  ,      424.0 
74  , ctx-rh-rostralmiddlefrontal_5                          , cortical  ,      833.0 
75  , ctx-rh-rostralmiddlefrontal_8                          , cortical  ,      720.0 
76  , ctx-rh-rostralmiddlefrontal_26                         , cortical  ,      431.0 
77  , ctx-rh-rostralmiddlefrontal_1                          , cortical  ,      372.0 
78  , ctx-rh-rostralmiddlefrontal_6                          , cortical  ,      613.0 
79  , ctx-rh-superiorfrontal_40                              , cortical  ,      644.0 
